"nowotwor" "gen" "pvalue" "n_cancer"
"1867" "HNSC" "DEPDC5" 0.025629 7
"1870" "LGG" "DEPDC5" 0 7
"1871" "LUAD" "DEPDC5" 0 7
"1872" "LUSC" "DEPDC5" 0.02689 7
"1873" "OV" "DEPDC5" 0 7
"1876" "UCEC" "DEPDC5" 0.043131 7
"1885" "LUAD" "DGKI" 0 3
"1887" "OV" "DGKI" 0 3
"1890" "UCEC" "DGKI" 0.046255 3
"1895" "HNSC" "DIAPH2" 0.009324 6
"1896" "KIPAN" "DIAPH2" 0.005679 6
"1897" "KIRC" "DIAPH2" 0.024955 6
"1901" "OV" "DIAPH2" 0 6
"1902" "STES" "DIAPH2" 0.046059 6
"1904" "UCEC" "DIAPH2" 0.027322 6
"1906" "COADREAD" "DIAPH3" 0.000867 3
"1915" "OV" "DIAPH3" 0 3
"1918" "UCEC" "DIAPH3" 0.026243 3
"1927" "LUAD" "DLC1" 0 3
"1929" "OV" "DLC1" 0 3
"1932" "UCEC" "DLC1" 0.049535 3
"1934" "COADREAD" "DMBT1" 0 2
"1946" "UCEC" "DMBT1" 0.013703 2
"1948" "COADREAD" "DMD" 0.017752 4
"1950" "GBMLGG" "DMD" 0.017498 4
"1951" "HNSC" "DMD" 0.025971 4
"1960" "UCEC" "DMD" 0.041475 4
"1968" "LGG" "DMXL1" 0.000257 5
"1969" "LUAD" "DMXL1" 0 5
"1971" "OV" "DMXL1" 0 5
"1973" "THCA" "DMXL1" 0 5
"1974" "UCEC" "DMXL1" 0.047403 5
"1976" "COADREAD" "DMXL2" 0.009061 3
"1979" "HNSC" "DMXL2" 0.022883 3
"1988" "UCEC" "DMXL2" 0.006745 3
"1993" "HNSC" "DNAH10" 0.005425 2
"2002" "UCEC" "DNAH10" 0.006117 2
"2004" "COADREAD" "DNAH11" 0.000583 2
"2016" "UCEC" "DNAH11" 0.009899 2
"2020" "GBMLGG" "DNAH12" 0.02055 2
"2030" "UCEC" "DNAH12" 0.018883 2
"2032" "COADREAD" "DNAH14" 0.000268 3
"2041" "OV" "DNAH14" 0 3
"2044" "UCEC" "DNAH14" 0.031154 3
"2054" "LUSC" "DNAH17" 0.007271 2
"2058" "UCEC" "DNAH17" 0.017612 2
"2060" "COADREAD" "DNAH2" 0.000478 5
"2062" "GBMLGG" "DNAH2" 0.011505 5
"2064" "KIPAN" "DNAH2" 0.021424 5
"2070" "STES" "DNAH2" 0.015207 5
"2072" "UCEC" "DNAH2" 0.00034 5
"2074" "COADREAD" "DNAH3" 1e-06 2
"2086" "UCEC" "DNAH3" 0.000305 2
"2088" "COADREAD" "DNAH5" 0.000755 4
"2090" "GBMLGG" "DNAH5" 0.048376 4
"2097" "OV" "DNAH5" 0.022223 4
"2100" "UCEC" "DNAH5" 0.002442 4
"2112" "STES" "DNAH6" 0.000178 2
"2114" "UCEC" "DNAH6" 0.021435 2
"2128" "UCEC" "DNAH7" 0.000127 1
"2130" "COADREAD" "DNAH8" 0.001647 4
"2131" "GBM" "DNAH8" 0.029864 4
"2136" "LGG" "DNAH8" 0.049444 4
"2142" "UCEC" "DNAH8" 0.000696 4
"2144" "COADREAD" "DNAH9" 0 3
"2152" "LUSC" "DNAH9" 0.040121 3
"2156" "UCEC" "DNAH9" 0.000689 3
"2160" "GBMLGG" "DNHD1" 0.000383 6
"2163" "KIRC" "DNHD1" 0.006106 6
"2164" "LGG" "DNHD1" 0 6
"2167" "OV" "DNHD1" 0 6
"2169" "THCA" "DNHD1" 0.000288 6
"2170" "UCEC" "DNHD1" 0.02574 6
"2172" "COADREAD" "DNMBP" 0.027549 3
"2181" "OV" "DNMBP" 0 3
"2184" "UCEC" "DNMBP" 0.034886 3
"2186" "COADREAD" "DOCK1" 0.006493 3
"2188" "GBMLGG" "DOCK1" 0.02724 3
"2198" "UCEC" "DOCK1" 0.012813 3
"2200" "COADREAD" "DOCK10" 6.7e-05 3
"2209" "OV" "DOCK10" 1e-06 3
"2212" "UCEC" "DOCK10" 0.014379 3
"2218" "KIPAN" "DOCK11" 0.00538 6
"2219" "KIRC" "DOCK11" 0.01171 6
"2221" "LUAD" "DOCK11" 0 6
"2222" "LUSC" "DOCK11" 0.019192 6
"2223" "OV" "DOCK11" 0 6
"2226" "UCEC" "DOCK11" 0.040582 6
"2240" "UCEC" "DOCK2" 0.016289 1
"2242" "COADREAD" "DOCK4" 2e-06 3
"2251" "OV" "DOCK4" 0 3
"2254" "UCEC" "DOCK4" 0.024002 3
"2256" "COADREAD" "DOPEY1" 0 4
"2263" "LUAD" "DOPEY1" 5.5e-05 4
"2265" "OV" "DOPEY1" 0 4
"2268" "UCEC" "DOPEY1" 0.023932 4
"2270" "COADREAD" "DOPEY2" 0.001643 2
"2282" "UCEC" "DOPEY2" 0.014274 2
"2291" "LUAD" "DSCAML1" 0 3
"2293" "OV" "DSCAML1" 0 3
"2296" "UCEC" "DSCAML1" 0.042179 3
"2298" "COADREAD" "DSEL" 0.026059 4
"2306" "LUSC" "DSEL" 0.000124 4
"2308" "STES" "DSEL" 0.001386 4
"2310" "UCEC" "DSEL" 0.016835 4
"2312" "COADREAD" "DST" 5.2e-05 3
"2315" "HNSC" "DST" 0.038069 3
"2324" "UCEC" "DST" 7.9e-05 3
"2333" "LUAD" "DUSP27" 0 4
"2334" "LUSC" "DUSP27" 0.01287 4
"2335" "OV" "DUSP27" 0 4
"2338" "UCEC" "DUSP27" 0.046287 4
"2340" "COADREAD" "DYNC1H1" 0 3
"2349" "OV" "DYNC1H1" 0 3
"2352" "UCEC" "DYNC1H1" 0.026492 3
"2354" "COADREAD" "DYNC2H1" 0.006468 4
"2360" "LGG" "DYNC2H1" 0.021508 4
"2365" "THCA" "DYNC2H1" 0.000102 4
"2366" "UCEC" "DYNC2H1" 0.002305 4
"2368" "COADREAD" "EGFR" 0.000233 6
"2370" "GBMLGG" "EGFR" 0 6
"2372" "KIPAN" "EGFR" 0.008238 6
"2373" "KIRC" "EGFR" 0.033005 6
"2374" "LGG" "EGFR" 0 6
"2375" "LUAD" "EGFR" 0.003966 6
"2381" "BRCA" "ENPP2" 0.016598 5
"2385" "HNSC" "ENPP2" 0.009898 5
"2389" "LUAD" "ENPP2" 0 5
"2391" "OV" "ENPP2" 0 5
"2394" "UCEC" "ENPP2" 0.048232 5
"2396" "COADREAD" "EP400" 0.000129 3
"2406" "STES" "EP400" 0.04816 3
"2408" "UCEC" "EP400" 0.01735 3
"2416" "LGG" "EPG5" 0.037713 3
"2419" "OV" "EPG5" 0 3
"2422" "UCEC" "EPG5" 0.03112 3
"2424" "COADREAD" "EPHA3" 0.009321 2
"2434" "STES" "EPHA3" 0.010127 2
"2437" "BRCA" "EPHA5" 4e-06 4
"2439" "GBM" "EPHA5" 0.031716 4
"2440" "GBMLGG" "EPHA5" 0.025128 4
"2450" "UCEC" "EPHA5" 0.021244 4
"2459" "LUAD" "EPHB1" 0 3
"2461" "OV" "EPHB1" 0 3
"2464" "UCEC" "EPHB1" 0.03745 3
"2466" "COADREAD" "ERBB4" 0.000823 5
"2473" "LUAD" "ERBB4" 0 5
"2475" "OV" "ERBB4" 0 5
"2477" "THCA" "ERBB4" 7e-06 5
"2478" "UCEC" "ERBB4" 0.038778 5
"2480" "COADREAD" "EYS" 0.016308 2
"2492" "UCEC" "EYS" 0.013767 2
"2506" "UCEC" "F5" 0.004962 1
"2508" "COADREAD" "F8" 0 5
"2512" "KIPAN" "F8" 0.017888 5
"2513" "KIRC" "F8" 0.00338 5
"2514" "LGG" "F8" 0.04438 5
"2520" "UCEC" "F8" 0.021637 5
"2526" "KIPAN" "FAM135A" 0.000901 4
"2527" "KIRC" "FAM135A" 0.00235 4
"2531" "OV" "FAM135A" 0 4
"2534" "UCEC" "FAM135A" 0.032301 4
"2539" "HNSC" "FAM135B" 0.00196 3
"2546" "STES" "FAM135B" 0.044511 3
"2548" "UCEC" "FAM135B" 0.037292 3
"2550" "COADREAD" "FAM47B" 0.017854 3
"2556" "LGG" "FAM47B" 0.009518 3
"2557" "LUAD" "FAM47B" 0.039045 3
"2573" "OV" "FAM83B" 0 2
"2576" "UCEC" "FAM83B" 0.036078 2
"2578" "COADREAD" "FANCM" 0.000125 5
"2586" "LUSC" "FANCM" 0.027653 5
"2587" "OV" "FANCM" 0 5
"2589" "THCA" "FANCM" 0.024914 5
"2590" "UCEC" "FANCM" 0.029609 5
