"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"127" "MYST3" "0" "0" "0.004" "0.019" "0.041" "0" "0.005" "0" "0.007" "0.013" "0.017" "0" "0.026" "0"
"128" "ODZ4" "0.005" "0.019" "0.006" "0.025" "0.053" "0.008" "0.005" "0.06" "0.011" "0.009" "0.04" "0" "0.03" "0.002"
"129" "RAI1" "0.002" "0.005" "0.007" "0.01" "0.056" "0.003" "0.002" "0.029" "0.006" "0.009" "0.013" "0" "0.01" "0.002"
"130" "TSHZ3" "0.003" "0.014" "0.015" "0.032" "0.081" "0.005" "0.008" "0.049" "0.011" "0.009" "0.069" "0" "0.028" "0"
"131" "KCNH7" "0.003" "0.013" "0.007" "0.024" "0.038" "0.003" "0.005" "0.035" "0.011" "0.025" "0.027" "0.002" "0.032" "0.002"
"132" "PKDREJ" "0.004" "0.01" "0.01" "0.021" "0.048" "0.007" "0.003" "0.027" "0.004" "0.021" "0.013" "0" "0.016" "0.004"
"133" "PTPRJ" "0.005" "0.008" "0.01" "0.006" "0.054" "0.005" "0.002" "0.031" "0.007" "0.011" "0.011" "0.004" "0.01" "0.002"
"134" "TNXB" "0.007" "0.02" "0.012" "0.024" "0.089" "0.005" "0.008" "0.044" "0.004" "0.025" "0.029" "0.01" "0.038" "0.008"
"135" "TRHDE" "0.007" "0.008" "0.004" "0.016" "0.057" "0.01" "0.003" "0.029" "0.006" "0.028" "0.029" "0.004" "0.03" "0.006"
"136" "ABCC9" "0.014" "0.014" "0.01" "0.011" "0.072" "0.02" "0.007" "0.036" "0.013" "0.027" "0.027" "0.006" "0.022" "0.002"
"137" "GLI3" "0.004" "0.011" "0.006" "0.029" "0.102" "0.003" "0.003" "0.057" "0.006" "0.011" "0.038" "0.004" "0.026" "0"
"138" "MGAM" "0.009" "0.028" "0.011" "0.022" "0.057" "0.013" "0.01" "0.051" "0.007" "0.034" "0.038" "0.004" "0.024" "0.002"
"139" "MYH11" "0.009" "0.02" "0.011" "0.04" "0.057" "0.012" "0.014" "0.046" "0.013" "0.021" "0.038" "0.006" "0.024" "0"
"140" "CDH10" "0.001" "0.007" "0.002" "0.03" "0.07" "0" "0.01" "0.044" "0.002" "0.047" "0.073" "0.002" "0.069" "0.002"
"141" "JARID2" "0.002" "0.004" "0.003" "0.021" "0.061" "0.003" "0.005" "0.029" "0.004" "0.017" "0.013" "0" "0.014" "0.002"
"142" "CNTNAP2" "0.017" "0.017" "0.007" "0.027" "0.089" "0.027" "0.014" "0.046" "0.009" "0.036" "0.061" "0.006" "0.067" "0"
"143" "SACS" "0.009" "0.025" "0.01" "0.041" "0.119" "0.013" "0.012" "0.058" "0.009" "0.028" "0.034" "0.004" "0.038" "0.004"
"144" "MYO15A" "0.012" "0.01" "0.014" "0.019" "0.086" "0.012" "0.003" "0.049" "0.007" "0.034" "0.023" "0.012" "0.022" "0.01"
"145" "XYLT2" "0.003" "0.006" "0.002" "0.006" "0.057" "0.005" "0" "0.011" "0.004" "0.006" "0" "0" "0" "0.002"
"146" "PCDHA10" "0.006" "0.01" "0.004" "0.016" "0.049" "0.01" "0.005" "0.033" "0.006" "0.023" "0.025" "0.002" "0.012" "0"
"147" "ABCA13" "0.012" "0.036" "0.026" "0.037" "0.094" "0.013" "0.008" "0.066" "0.03" "0.042" "0.067" "0.01" "0.062" "0"
"148" "ITPR2" "0.007" "0.019" "0.013" "0.014" "0.059" "0.008" "0.008" "0.044" "0.013" "0.021" "0.029" "0.006" "0.032" "0.01"
"149" "LRP2" "0.025" "0.035" "0.029" "0.064" "0.115" "0.032" "0.025" "0.069" "0.028" "0.064" "0.063" "0.017" "0.081" "0.002"
"150" "CDHR2" "0.001" "0.009" "0.002" "0.01" "0.037" "0.002" "0.007" "0.024" "0" "0.009" "0.029" "0" "0.018" "0"
"151" "ERBB4" "0.001" "0.015" "0.01" "0.037" "0.099" "0" "0" "0.035" "0.009" "0.034" "0.044" "0.002" "0.03" "0.004"
"152" "HECTD1" "0.004" "0.011" "0.007" "0.013" "0.043" "0.003" "0.003" "0.036" "0.004" "0.021" "0.017" "0.004" "0.012" "0"
"153" "TECTA" "0.005" "0.015" "0.006" "0.043" "0.08" "0.01" "0.007" "0.051" "0.009" "0.027" "0.031" "0" "0.038" "0.004"
"154" "HYDIN" "0.007" "0.033" "0.01" "0.046" "0.083" "0.013" "0.024" "0.049" "0.006" "0.034" "0.046" "0" "0.032" "0.002"
"155" "VPS13B" "0.007" "0.023" "0.018" "0.038" "0.083" "0.007" "0.014" "0.057" "0.024" "0.053" "0.048" "0.008" "0.05" "0.002"
"156" "MYH9" "0.004" "0.022" "0.006" "0.022" "0.057" "0.007" "0.005" "0.033" "0.004" "0.027" "0.019" "0" "0.022" "0"
"157" "SSPO" "0.013" "0.016" "0.024" "0.013" "0.097" "0.013" "0.008" "0.051" "0.026" "0.034" "0.061" "0.012" "0.052" "0.004"
"158" "ARFGEF1" "0.002" "0.013" "0.007" "0.017" "0.048" "0.003" "0.007" "0.035" "0.009" "0.017" "0.019" "0" "0.014" "0"
"159" "SVEP1" "0.011" "0.021" "0.016" "0.022" "0.072" "0.01" "0.014" "0.051" "0.017" "0.042" "0.044" "0.012" "0.022" "0.004"
"160" "SORL1" "0.004" "0.009" "0.007" "0.017" "0.048" "0.003" "0.012" "0.04" "0.007" "0.021" "0.025" "0.004" "0.016" "0.002"
"161" "ASPM" "0.007" "0.024" "0.013" "0.032" "0.068" "0.008" "0.007" "0.058" "0.011" "0.047" "0.071" "0.006" "0.038" "0.004"
"162" "CNTN6" "0.006" "0.013" "0.003" "0.029" "0.061" "0.012" "0.002" "0.04" "0.004" "0.021" "0.015" "0" "0.03" "0"
"163" "PCDHA9" "0.003" "0.011" "0.007" "0.017" "0.061" "0.005" "0.008" "0.049" "0.006" "0.011" "0.017" "0" "0.01" "0"
"164" "DMD" "0.015" "0.041" "0.014" "0.059" "0.116" "0.02" "0.017" "0.077" "0.013" "0.066" "0.077" "0.01" "0.067" "0.002"
"165" "ZFAT" "0.005" "0.005" "0.007" "0.013" "0.043" "0.007" "0" "0.038" "0.009" "0.015" "0.015" "0.004" "0.02" "0.002"
